#tiré du fichier Gnumeric TALDICE
#ztop (m)	d18O (pm)	deut	Bintanja Isotot
513	-36.25	-278.164684336125	1.69821946345287
514	-37.20	-285.79728712003	1.69696928674494
515	-36.42	-279.147602263602	1.69572618552495
516	-37.81	-290.051256500697	1.69387932733173
517	-37.34	-286.109114370939	1.69179023218587
518	-38.01	-290.901290570454	1.68976002849739
519	-37.91	-290.053848995284	1.68772933075651
520	-37.26	-285.411101947192	1.6847698783588
521	-37.38	-286.40745390359	1.68185321938784
522	-37.78	-289.654345813123	1.6793987760821
523	-36.62	-280.238351967207	1.67666126086847
524	-36.71	-280.909351472502	1.67400993370898
525	-37.17	-285.568192463368	1.67136886813647
526	-37.02	-284.692261243803	1.66839021006031
527	-36.85	-282.90504788412	1.66531778772011
528	-37.84	-289.728156656532	1.6622790986383
529	-36.70	-280.687100813237	1.6600154669481
530	-36.91	-282.574868118533	1.65715715481366
531	-36.32	-277.616076592076	1.65421749888732
532	-37.88	-289.203888533574	1.6514289836717
533	-37.22	-283.939728817417	1.64891779975584
534	-37.57	-286.748079915307	1.64639337392855
535	-37.23	-284.042834292106	1.64400581962062
536	-37.28	-284.474279507711	1.6414615527302
537	-36.17	-275.522146930618	1.63892161337824
538	-36.82	-281.156542040305	1.63642955212734
539	-36.80	-281.061172182266	1.63390843444369
540	-36.56	-279.17690365072	1.63191894665425
541	-37.03	-283.122345765944	1.62977360165026
542	-38.28	-293.773473549411	1.62780022004286
543	-37.04	-283.45737213369	1.62570679363327
544	-36.04	-274.345085672228	1.62398292755608
545	-36.71	-279.68693994078	1.62176589475099
546	-37.63	-287.065874566023	1.6191601131796
547	-37.00	-281.961562088027	1.61676819542625
548	-37.19	-284.084307733333	1.61404984073388
549	-37.20	-285.2376018	1.61162005907786
550	-36.17	-276.947654344589	1.60885156686607
551	-36.51	-279.651106502784	1.60609566352801
552	-37.43	-287.066565726928	1.60345561539154
553	-36.21	-276.940579757433	1.60061744392541
554	-37.01	-282.971360176921	1.59811877425823
555	-37.58	-287.53236724291	1.59540215748862
556	-36.15	-276.105104706893	1.59139557527502
557	-36.25	-276.877099742899	1.58826579646467
558	-36.85	-282.618029017708	1.58539089570551
559	-36.46	-280.473647999013	1.58250151158672
560	-37.39	-287.890375475085	1.58019730003732
561	-36.98	-285.504909665993	1.57754744882461
562	-36.90	-284.860620688667	1.57525537048067
563	-36.24	-278.03111558209	1.5728003337605
564	-36.81	-280.476692054845	1.57026892735894
565	-36.35	-276.832337403769	1.56844140471473
566	-36.39	-277.15568143741	1.56644797625114
567	-36.77	-280.136629834962	1.56424607795956
568	-36.34	-278.050715746241	1.56246735144326
569	-37.51	-287.750666	1.56071333347795
570	-35.56	-272.4752608	1.55882212635017
571	-35.39	-272.332932731919	1.55701909771142
572	-36.16	-278.464846177563	1.55492383824618
573	-36.88	-284.325431775388	1.55300936151282
574	-36.23	-279.270825943227	1.55154600828426
575	-37.52	-289.587478005368	1.55007375824625
576	-36.58	-282.007962261659	1.54847516639215
