#From Jouzel et al. (Science, 2007)
#Extrapolated for depths <=6.05 m
#Excess extrapolated for depth>=2151.6 m
#depth-top (m)	d18O (pm)	deut (pm)	d18OSW (pm)
331.1	-50.2	-392.9	0.39886223730222
331.65	-49.9	-391.4	0.40140631751152
332.2	-48.9	-384.5	0.40390647094418
332.75	-50.3	-394.4	0.40621006160658
333.3	-50.5	-394.8	0.40884018804171
333.85	-50.3	-395.8	0.41156537515224
334.4	-50.6	-396.2	0.41432464312913
334.95	-50.1	-395.4	0.41709847822003
335.5	-49.9	-391.7	0.41984729501812
336.05	-49.7	-390.9	0.42249111394096
336.6	-49.4	-388	0.42515499070207
337.15	-49.9	-392.6	0.42772948240469
337.7	-50.8	-397.7	0.43045064125814
338.25	-50.3	-394.3	0.43334404231266
338.8	-49.8	-391.4	0.43612556172294
339.35	-49.5	-387.7	0.43902020073461
339.9	-50.4	-395.2	0.44179124170816
340.45	-51.0	-400.3	0.44482345534127
341	-50.1	-393.3	0.44804774049364
341.55	-49.6	-390	0.4510151165606
