#This is the raw Datice output, not the official AICC2012 file.
#Depth (m)	Ice age (a B1950)	Ice age std (a)	Gas age (a B1950)	Gas age std (a)	Accu. Rate (m ie)	Thinning	LIDIE (m ie)
572.55	26532.1	301.398	21927.9	1994.19	0.0115	0.8498	58.92
574.2	26701.6	288.02	22083.2	2040.02	0.0117	0.8492	60.35
575.85	26868	273.907	22119.4	2206.95	0.0117	0.8487	61.64
577.5	27034.7	259.933	22167	2249.97	0.0115	0.8481	60.98
579.15	27203.4	247.914	22354.8	2199.55	0.0117	0.8472	61.85
580.8	27370.6	237.123	22436.4	2197.67	0.0116	0.847	62.54
582.45	27538.9	227.982	22526.4	2106.41	0.0121	0.846	63.11
584.1	27700	221.259	22626	2153.42	0.0134	0.8459	62.35
585.75	27845.8	216.329	22811.2	2151.06	0.0126	0.8453	62.86
587.4	28000.9	213.924	22917.3	2181.36	0.0125	0.8452	63.49
589.05	28157.1	213.318	23012.9	2258.92	0.0135	0.845	65.7
590.7	28302.2	214.134	22996	2226.95	0.013	0.8444	64.81
592.35	28452	216.6	23202.2	2173.34	0.0122	0.843	64.28
594	28612.7	220.64	23379.3	2221.72	0.0123	0.8429	65.51
595.65	28771.3	225.119	23430.3	2326.26	0.0136	0.8424	65.19
597.3	28915.1	230.159	23598.6	2327.65	0.0139	0.8421	62.66
598.95	29055.9	236.61	23921.8	2348.83	0.0133	0.8415	62.34
600.6	29203.7	243.199	24103.5	2380.98	0.0132	0.8413	62.68
602.25	29352.5	248.893	24233.5	2223.02	0.0138	0.841	61.9
603.9	29494.9	253.686	24454.4	2337.99	0.0142	0.8404	61.79
605.55	29633.2	258	24624.1	2344	0.0147	0.8395	59.6
607.2	29767.1	262.406	24966.4	2300.95	0.0143	0.8385	59.69
608.85	29904.6	266.257	25131.1	2333.83	0.014	0.838	59.87
610.5	30045.4	268.9	25285.8	2327.23	0.0145	0.8377	59.67
612.15	30181.4	270.241	25469.9	2407.29	0.0134	0.8368	59.04
613.8	30328.8	270.306	25706.3	2366.69	0.0127	0.836	58.94
615.45	30484.4	270.059	25890.1	2410.42	0.0129	0.8358	59.41
617.1	30638	269.476	26018.3	2375.42	0.0132	0.8356	58.99
618.75	30788.1	267.802	26223.1	2390.18	0.0131	0.8349	59.3
620.4	30938.8	264.807	26364.9	2451.81	0.0129	0.8341	59.15
622.05	31092.2	260.689	26549.3	2381.7	0.0131	0.8334	58.64
623.7	31243.4	256.167	26764.6	2396.88	0.0137	0.8325	59.12
625.35	31388.2	251.476	26896.9	2417.47	0.013	0.8314	59.1
